File format - 1
# of Tracks - 13
Ticks/quarter note - 96

Start of track 1at Byte 14
Track length: 344
0: Tempo to 262912 usec/quarter note
0: Time Signature event
385920: Tempo to 328205 usec/quarter note
447360: Tempo to 262912 usec/quarter note

Start of track 2at Byte 366
Track length: 20409
379187: On, C3
379307: Off, C3
379307: On, C3
379427: Off, C3
379427: On, C3
379547: Off, C3
379547: On, C3
379667: Off, C3
379667: On, C3
379787: Off, C3
379787: On, C3
379907: Off, C3
379907: On, C3
380027: Off, C3
380027: On, C3
380147: Off, C3
380147: On, C3
380267: Off, C3
380267: On, C3
380387: Off, C3
380387: On, C3
380507: Off, C3
380507: On, C3
380627: Off, C3
380627: On, C3
380747: Off, C3
380747: On, C3
380867: Off, C3
380867: On, C3
380987: Off, C3
380987: On, C3
381107: Off, C3
381107: On, C3
381227: Off, C3
381227: On, C3
381347: Off, C3
381347: On, C3
381467: Off, C3
381467: On, C3
381587: Off, C3
381587: On, D#3
381794: Off, D#3
384086: Off, G#2
384086: On, G#2
384206: Off, G#2
384206: On, G#2
384326: Off, G#2
384326: On, G#2
384446: Off, G#2
384446: On, G#2
384566: Off, G#2
384566: On, G#2
384686: Off, G#2
384686: On, G#2
384806: Off, G#2
384806: On, G#2
384926: Off, G#2
384926: On, G#2
385046: Off, G#2
385046: On, G#2
385166: Off, G#2
385166: On, G#2
385286: Off, G#2
385286: On, G#2
385406: Off, G#2
385406: On, G#2
385526: Off, G#2
385526: On, G#2
385646: Off, G#2
385646: On, G#2
385766: Off, G#2
385766: On, G#2
385886: Off, G#2
385886: On, G#2
386006: Off, G#2
386006: On, G#2
386126: Off, G#2
386126: On, G#2
386246: Off, G#2
386246: On, G#2
386366: Off, G#2
386366: On, G#2
386486: Off, G#2
386486: On, G#2
386606: Off, G#2
386606: On, G#2
386726: Off, G#2
386726: On, G#2
386846: Off, G#2
386846: On, G#2
386966: Off, G#2
386966: On, G#2
387086: Off, G#2
387086: On, G#2
387206: Off, G#2
387206: On, G#2
387326: Off, G#2
387326: On, G#2
387446: Off, G#2
387446: On, G#2
387566: Off, G#2
387566: On, F3
387773: Off, F3
390067: Off, A#2
390067: On, A#2
390187: Off, A#2
390187: On, A#2
390307: Off, A#2
390307: On, A#2
390427: Off, A#2
390427: On, A#3
391768: Off, A#3
391894: On, F3
392101: Off, F3
394395: Off, A#2
394395: On, A#2
394515: Off, A#2
394515: On, A#2
394635: Off, A#2
394635: On, A#2
394755: Off, A#2
394755: On, A#3
396096: Off, A#3
396222: On, C3
396462: Off, C3
396462: On, C3
396702: Off, C3
396702: On, G3
396909: Off, G3
399325: Off, C3
399325: On, C3
