File format - 1
# of Tracks - 7
Ticks/quarter note - 480

Start of track 1 at Byte 14
Track length: 83
0, Tempo to 731707 usec/quarter note
0, Sequence/Track Name event
0, Time Signature event
4964, Time Signature event
5011, Time Signature event
6509, Time Signature event
6556, Time Signature event
6556,End of track

Start of track 2 at Byte 105
Track length: 13008
0, Sequence/Track Name event
0, Control change event, Channel: 1
0, Control change event, Channel: 1
0, Control change event, Channel: 1
0, Pitch wheel event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 2
0, Control change event, Channel: 2
0, Pitch wheel event, Channel: 2
0, Program change event, Channel: 1
0, Program change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
1340,On,B4,1
1346,Off,B4,1
1346,On,A4,1
1346,On,D4,1
1358,Off,A4,1
1358,Off,D4,1
1358,On,E4,1
1364,Off,E4,1
1364,On,F#4,1
1370,Off,F#4,1
1370,On,A4,1
1376,Off,A4,1
1376,On,B4,1
1381,Off,B4,1
1381,On,A4,1
1393,Off,A4,1
1393,On,A4,1
1393,On,F#4,1
1405,Off,A4,1
1405,Off,F#4,1
1405,On,D4,1
1411,Off,D4,1
1411,On,D4,1
1417,Off,D4,1
1417,On,A4,1
1417,On,D4,1
1428,Off,A4,1
1428,Off,D4,1
1428,On,A4,1
1428,On,D4,1
1434,Off,A4,1
1434,Off,D4,1
1434,On,B4,1
1440,Off,B4,1
1440,On,A4,1
1440,On,D4,1
1452,Off,A4,1
1452,Off,D4,1
1452,On,E4,1
1458,Off,E4,1
1458,On,F#4,1
1463,Off,F#4,1
1463,On,A4,1
1469,Off,A4,1
1469,On,B4,1
1475,Off,B4,1
1475,On,A4,1
1487,Off,A4,1
1487,On,A4,1
1487,On,F#4,1
1499,Off,A4,1
1499,Off,F#4,1
1499,On,D4,1
1504,Off,D4,1
1504,On,D4,1
1510,Off,D4,1
1510,On,A4,1
1510,On,D4,1
1522,Off,A4,1
1522,Off,D4,1
1522,On,A4,1
1522,On,D4,1
1528,Off,A4,1
1528,Off,D4,1
1528,On,B4,1
1534,Off,B4,1
1534,On,A4,1
1534,On,D4,1
1545,Off,A4,1
1545,Off,D4,1
1545,On,E4,1
1551,Off,E4,1
1551,On,F#4,1
1557,Off,F#4,1
1557,On,A4,1
1563,Off,A4,1
1563,On,B4,1
1569,Off,B4,1
1569,On,A4,1
1580,Off,A4,1
1580,On,A4,1
1580,On,F#4,1
1592,Off,A4,1
1592,Off,F#4,1
1592,On,F#3,1
1598,Off,F#3,1
1598,On,F#3,1
1604,Off,F#3,1
1604,On,F#3,1
1610,Off,F#3,1
1610,On,F#3,1
1616,Off,F#3,1
1616,On,F#3,1
1621,Off,F#3,1
1621,On,F#3,1
1627,Off,F#3,1
1627,On,G3,1
1633,Off,G3,1
1633,On,G3,1
1639,Off,G3,1
1639,On,G3,1
1645,Off,G3,1
1645,On,G3,1
1651,Off,G3,1
1651,On,G3,1
1657,Off,G3,1
1657,On,G3,1
1662,Off,G3,1
1662,On,G3,1
1668,Off,G3,1
1668,On,G3,1
1674,Off,G3,1
1674,On,G3,1
1680,Off,G3,1
1680,On,G3,1
1686,Off,G3,1
1686,On,A3,1
1692,Off,A3,1
1692,On,A3,1
1698,Off,A3,1
1698,On,A3,1
1703,Off,A3,1
1703,On,A3,1
1709,Off,A3,1
1709,On,A3,1
1715,Off,A3,1
1715,On,A3,1
1721,Off,A3,1
1721,On,B3,1
1727,Off,B3,1
1727,On,B3,1
1733,Off,B3,1
1733,On,B3,1
1739,Off,B3,1
1739,On,B3,1
1744,Off,B3,1
1744,On,B3,1
1750,Off,B3,1
1750,On,B3,1
1756,Off,B3,1
1756,On,B3,1
1762,Off,B3,1
1762,On,B3,1
1768,Off,B3,1
1768,On,B3,1
1774,Off,B3,1
1774,On,B3,1
1780,Off,B3,1
1780,On,C4,1
1785,Off,C4,1
1785,On,C4,1
1791,Off,C4,1
1791,On,C4,1
1797,Off,C4,1
1797,On,C4,1
1803,Off,C4,1
1803,On,C4,1
1809,Off,C4,1
1809,On,C4,1
1815,Off,C4,1
1815,On,B3,1
1820,Off,B3,1
1820,On,B3,1
1826,Off,B3,1
1826,On,B3,1
1832,Off,B3,1
1832,On,B3,1
1838,Off,B3,1
1838,On,B3,1
1844,Off,B3,1
1844,On,B3,1
1850,Off,B3,1
1850,On,B3,1
1856,Off,B3,1
1856,On,B3,1
1861,Off,B3,1
1861,On,B3,1
1867,Off,B3,1
1867,On,B3,1
1873,Off,B3,1
1873,On,G3,1
1879,Off,G3,1
1879,On,G3,1
1885,Off,G3,1
1885,On,G3,1
1891,Off,G3,1
1891,On,G3,1
1897,Off,G3,1
1897,On,G3,1
1902,Off,G3,1
1902,On,G3,1
1908,Off,G3,1
1908,On,G3,1
1914,Off,G3,1
1914,On,G3,1
1920,Off,G3,1
1920,On,D4,1
1920,On,G3,1
1926,Off,D4,1
1926,Off,G3,1
1926,On,D4,1
1926,On,G3,1
1932,Off,D4,1
1932,Off,G3,1
1932,On,D4,1
1932,On,G3,1
1938,Off,D4,1
1938,Off,G3,1
1938,On,D4,1
1938,On,G3,1
1943,Off,D4,1
1943,Off,G3,1
1943,On,A3,1
1943,On,D3,1
1944,Off,A3,1
1944,Off,D3,1
1949,On,A3,1
1949,On,D3,1
1950,Off,A3,1
1950,Off,D3,1
1955,On,A3,1
1955,On,D3,1
1956,Off,A3,1
1956,Off,D3,1
1961,On,A3,1
1961,On,D3,1
1962,Off,A3,1
1962,Off,D3,1
1967,On,D4,1
1967,On,A3,1
1967,On,D3,1
1973,Off,D4,1
1973,Off,A3,1
